var,bin,bin_cuts,miss_flag,num_ids,bad_ids,dtype,per_goods,per_bads,woe,iv_bin,iv_final
currentObligationsValue,7,-20,0,907,390,numeric,0.079562942,0.151869159,-64.6470916,0.046743866,0.311295711
currentObligationsValue,8,0,0,1813,776,numeric,0.159587565,0.302180685,-63.84323634,0.091036063,0.311295711
C1M00 secondary exp,0,-2276.75,0,907,157,numeric,0.115420129,0.061137072,63.54603498,0.034494731,0.264911373
C1M00 secondary exp,1,-1609.99,0,907,153,numeric,0.116035703,0.059579439,66.65873952,0.037633034,0.264911373
C1M00 secondary exp,2,-1219.75,0,906,178,numeric,0.112034472,0.069314642,48.01504465,0.020511946,0.264911373
C1M00 secondary exp,3,-931.41,0,907,187,numeric,0.110803324,0.072819315,41.97755437,0.015944758,0.264911373
C1M00 secondary exp,4,-722.47,0,906,213,numeric,0.106648199,0.082943925,25.13707821,0.005958562,0.264911373
C1M00 secondary exp,5,-551.88,0,907,247,numeric,0.101569714,0.096183801,5.448444697,0.000293448,0.264911373
C1M00 secondary exp,6,-391.94,0,906,293,numeric,0.094336719,0.114096573,-19.01747245,0.003757825,0.264911373
C1M00 secondary exp,7,-245.71,0,907,323,numeric,0.089873807,0.125778816,-33.61183918,0.012068334,0.264911373
C1M00 secondary exp,8,-99.48,0,906,354,numeric,0.084949215,0.137850467,-48.41159183,0.025610338,0.264911373
C1M00 secondary exp,9,0,0,907,463,numeric,0.068328717,0.18029595,-97.02695431,0.108638397,0.264911373
C1M00 Closing Balance,0,-1535.53,0,907,109,numeric,0.122807018,0.042445483,106.2393664,0.085375585,0.260065873
C1M00 Closing Balance,1,-834.13,0,907,168,numeric,0.113727301,0.065420561,55.29668901,0.026712028,0.260065873
C1M00 Closing Balance,2,-476.34,0,906,206,numeric,0.107725454,0.080218069,29.48371148,0.008110198,0.260065873
C1M00 Closing Balance,3,-272.73,0,907,244,numeric,0.102031394,0.095015576,7.123971347,0.000499805,0.260065873
C1M00 Closing Balance,4,-135.18,0,906,290,numeric,0.0947984,0.112928349,-17.50010109,0.003172759,0.260065873
C1M00 Closing Balance,5,-45.31,0,907,346,numeric,0.086334257,0.134735202,-44.5084921,0.021542531,0.260065873
C1M00 Closing Balance,6,18.02,0,906,433,numeric,0.072791628,0.168613707,-84.00093909,0.080491446,0.260065873
C1M00 Closing Balance,7,194.66,0,907,335,numeric,0.088027085,0.130451713,-39.33585919,0.016688092,0.260065873
C1M00 Closing Balance,8,669.07,0,906,253,numeric,0.100492459,0.098520249,1.982058913,3.91E-05,0.260065873
C1M00 Closing Balance,9,141086.66,0,907,184,numeric,0.111265005,0.07165109,44.01064131,0.017434338,0.260065873
C1_COV_DBC,0,14.51558679,0,860,102,numeric,0.116651277,0.039719626,107.7343521,0.082881816,0.259637462
C1_COV_DBC,1,18.80298607,0,860,138,numeric,0.111111111,0.053738318,72.64044023,0.04167585,0.259637462
C1_COV_DBC,2,22.93574405,0,860,167,numeric,0.106648199,0.065031153,49.46691354,0.020586669,0.259637462
C1_COV_DBC,3,27.09257624,0,859,209,numeric,0.100030779,0.081386293,20.62710595,0.003845818,0.259637462
C1_COV_DBC,4,31.72872208,0,860,230,numeric,0.096952909,0.089563863,7.927345904,0.000585755,0.259637462
C1_COV_DBC,5,37.32801767,0,860,271,numeric,0.090643275,0.105529595,-15.20596886,0.002263609,0.259637462
C1_COV_DBC,6,44.78482705,0,859,272,numeric,0.090335488,0.105919003,-15.91442979,0.002480028,0.259637462
C1_COV_DBC,7,54.30760426,0,860,340,numeric,0.080024623,0.132398754,-50.34838575,0.026369529,0.259637462
C1_COV_DBC,8,69.8340891,0,860,345,numeric,0.079255155,0.134345794,-52.77445678,0.029073785,0.259637462
C1_COV_DBC,9,244.9489743,0,860,376,numeric,0.074484457,0.146417445,-67.58712881,0.048617442,0.259637462
C1_COV_DBC,,,1,468,118,numeric,0.053862727,0.045950156,15.88814786,0.001257161,0.259637462
C1M01 Debit Counts,0,29,0,907,444,numeric,0.071252693,0.172897196,-88.64645598,0.09010425,0.247959774
C1M01 Debit Counts,1,46,0,906,373,numeric,0.082025239,0.145249221,-57.14240469,0.036127704,0.247959774
C1M01 Debit Counts,2,62,0,906,332,numeric,0.088334872,0.129283489,-38.0872624,1.56E-02,0.247959774
C1M01 Debit Counts,3,76,0,906,262,numeric,0.099107418,0.102024922,-2.901282908,8.46E-05,0.247959774
C1M01 Debit Counts,4,89,0,906,262,numeric,0.099107418,0.102024922,-2.901282908,8.46E-05,0.247959774
C1M01 Debit Counts,5,105,0,906,201,numeric,0.108494922,0.078271028,32.65258433,0.009868882,0.247959774
C1M01 Debit Counts,6,122,0,906,192,numeric,0.109879963,0.074766355,38.50205389,0.01351946,0.247959774
C1M01 Debit Counts,7,145,0,906,175,numeric,0.112496153,0.068146417,50.12604344,0.022230768,0.247959774
C1M01 Debit Counts,8,184,0,906,169,numeric,0.113419514,0.065809969,54.43221258,0.025914929,0.247959774
C1M01 Debit Counts,9,715,0,906,157,numeric,0.115266236,0.061137072,63.41261267,0.034324717,0.247959774
C1M01 Debit Counts,,,1,5,1,numeric,0.000615574,0.000389408,45.79273097,0.000103568,0.247959774
